Sample,U (ppm),Th (ppm),207Pb/206Pb,2S.E.,207Pb/235U,2S.E,206Pb/238U,2S.E.,𝜌,F206 (%)a,206Pb*/238U ,2σ,
91500,77,29,0.07518,0.00094,1.85135,0.02872,0.17861,0.00164,0.593,0,1058.8,9.0,
91500,86,32,0.07474,0.00085,1.85333,0.02673,0.17986,0.00159,0.613,0,1066.1,8.7,
91500,77,29,0.07470,0.00095,1.84264,0.03027,0.17890,0.00187,0.637,0,1060.9,10.2,
91500,83,31,0.07516,0.00092,1.86011,0.02832,0.17949,0.00161,0.590,0,1063.6,8.8,
91500,77,29,0.07498,0.00099,1.85622,0.02948,0.17956,0.00158,0.556,0,1064.2,8.6,
91500,80,30,0.07460,0.00087,1.83176,0.02991,0.17809,0.00203,0.698,0,1056.6,11.1,
91500,80,30,0.07511,0.00092,1.85986,0.02655,0.17960,0.00132,0.516,0,1064.3,7.2,
91500,80,30,0.07440,0.00083,1.83072,0.02613,0.17846,0.00158,0.620,0,1058.9,8.6,
91500,81,30,0.07484,0.00093,1.84620,0.02832,0.17891,0.00160,0.584,0,1060.8,8.8,
91500,79,30,0.07445,0.00088,1.84525,0.02687,0.17975,0.00153,0.583,0,1065.9,8.3,
91500,81,30,0.07586,0.00088,1.87119,0.02966,0.17890,0.00194,0.684,0,1059.6,10.6,
91500,80,30,0.07515,0.00088,1.84697,0.02972,0.17826,0.00196,0.684,0,1056.9,10.7,
91500,80,30,0.07495,0.00099,1.85813,0.03242,0.17981,0.00206,0.655,0,1065.6,11.2,
91500,80,30,0.07415,0.00094,1.82754,0.02956,0.17875,0.00180,0.624,0,1060.8,9.9,
91500,80,30,0.07505,0.00101,1.86217,0.03313,0.17996,0.00210,0.655,0,1066.4,11.4,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plesovice ,442,51,0.05366,0.00072,0.40213,0.00621,0.05435,0.00041,0.493,0,341.0,5.0,
Plesovice ,822,96,0.05399,0.00054,0.40010,0.00500,0.05374,0.00040,0.592,0,337.1,4.8,
Plesovice ,734,68,0.05319,0.00053,0.39792,0.00503,0.05426,0.00042,0.609,0,340.7,5.1,
Plesovice ,631,75,0.07961,0.00558,0.60363,0.04289,0.05499,0.00065,0.166,3,334.0,7.3,
Plesovice ,750,65,0.05360,0.00044,0.40041,0.00382,0.05418,0.00026,0.500,0,340.0,3.2,
Plesovice ,878,95,0.05525,0.00049,0.40878,0.00430,0.05366,0.00031,0.549,0,336.1,3.8,
Plesovice ,839,93,0.05833,0.00049,0.43377,0.00430,0.05393,0.00028,0.520,1,336.5,3.4,
Plesovice ,491,48,0.05343,0.00051,0.40009,0.00440,0.05431,0.00029,0.491,0,340.9,3.5,
Plesovice ,476,47,0.05290,0.00055,0.39148,0.00464,0.05368,0.00030,0.468,0,337.2,3.7,
,,,,,,,,,,,,,
