IntStdWv,Sample,Si29_CPS,Ca_ppm_m43,43CaO wt%,Ca_ppm_m44,44CaO wt%,Ti_ppm_m49,49TiO2,Ga_ppm_m69,Ga_ppm_m71,Rb_ppm_m85,Sr_ppm_m88,Y_ppm_m89,Zr_ppm_m90,Zr_ppm_m91,Nb_ppm_m93,Cs_ppm_m133,Ba_ppm_m137,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m146,Sm_ppm_m147,Eu_ppm_m153,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m163,Ho_ppm_m165,Er_ppm_m166,Tm_ppm_m169,Yb_ppm_m172,Lu_ppm_m175,Hf_ppm_m178,Ta_ppm_m181,Pb_ppm_m208,Th_ppm_m232,U_ppm_m238
36.2,UA4024 - 1,1680000,4600,0.64,4600,0.64,1066,0.18,37.2,13.4,97.9,67.4,12.9,100.7,101.2,7.8,2.2,824,22.9,43.3,5,15.7,3.5,0.3,1.7,0.4,2.3,0.5,1.7,0.2,1.4,0.3,3,0.7,11.5,10.4,4.7
36.2,UA4024 - 2,1590000,4560,0.64,4790,0.67,952,0.16,39.6,15.5,108.6,65,14.3,92.4,91.8,7.5,2.6,861,23,45,4.5,14.1,2.2,0.3,2.2,0.3,2.1,0.5,1.6,0.3,1.9,0.3,3.4,0.7,11.9,11.4,5.6
36.2,UA4024 - 3,1520000,4600,0.64,4400,0.62,890,0.15,39.7,16.6,107.5,54.7,13.8,89.4,92.2,7,2.6,811,22,43.3,4.1,15.1,2.2,0.4,1.3,0.3,2,0.4,1.3,0.3,1.9,0.3,2.4,0.7,13.4,10.9,5.2
36.2,UA4024 - 4,1770000,4100,0.57,4600,0.64,917,0.15,40.7,14.4,102.4,60.2,13.2,97.1,100,8.1,2.4,832,23.6,44.1,4.5,16.5,2.1,0.4,1.4,0.4,1.5,0.5,1.1,0.2,2.2,0.3,3.2,0.7,12.7,11.3,4.9
36.2,UA4024 - 5,1720000,4570,0.64,4680,0.65,980,0.16,38,14.9,99,65.5,13.3,96.4,97.1,7.4,2.6,811,22.6,45.3,4.7,13.8,1.8,0.4,2.6,0.4,1.8,0.4,1,0.3,1.5,0.4,3.2,0.7,11.4,10.9,4.7
36.2,UA4024 - 6,1570000,4000,0.56,4200,0.59,884,0.15,39.4,15.6,108.1,54.3,13.2,87.8,86.9,7.4,2.9,844,22.7,45,4.5,13.9,3.2,0.3,1.6,0.4,2.3,0.4,1.5,0.3,1.7,0.3,2.9,0.8,12.3,11.7,4.8
36.2,UA4024 - 7,1562000,4820,0.67,4180,0.58,929,0.15,39.4,14.4,100.7,58.6,13.1,90.7,93.3,7,2.5,807,22.7,43,4.5,15.4,2.2,0.3,1.4,0.2,1.9,0.4,1.6,0.4,1.2,0.4,3.6,0.7,11,10.8,4.5
36.2,UA4024 - 8,1617000,4460,0.62,4230,0.59,1026,0.17,39.2,15.7,99.7,62.3,12.9,92.7,103,7.7,2.6,804,21.6,42.7,4.3,15.4,2.4,0.4,2,0.3,2.6,0.5,1.2,0.2,1.7,0.3,3.1,0.8,12.6,10.4,4.9
36.2,UA4024 - 9,1650000,4020,0.56,4360,0.61,937,0.16,38.4,14.4,100.5,62.7,13.4,90.7,95.3,7.3,2.4,796,22.2,43.2,4.3,14.2,2,0.2,1.7,0.3,1.9,0.4,1.4,0.3,1.6,0.3,2.8,0.7,11.1,10.2,4.5
36.2,UA4024 - 10,1890000,3910,0.55,4170,0.58,902,0.15,39.3,15.3,104,53.7,16.8,98.2,109.1,8.7,2.7,817,23.9,49.1,4.9,17.5,3,0.5,1.5,0.3,2.6,0.4,1.6,0.3,2.2,0.2,2.5,0.8,13.6,11.9,7.9
36.2,UA4024 - 11,1660000,4330,0.61,4490,0.63,1046,0.17,38,12.4,96.8,66.6,13.7,99.9,104,7.2,2.3,811,22.3,42.8,4.5,15.9,2.4,0.4,1.6,0.3,2.1,0.5,1.3,0.3,1.8,0.3,3.4,0.7,11.3,10.5,4.5
36.2,UA4024 - 12,1500000,4220,0.59,3940,0.55,875,0.15,39.3,16.4,115.9,53.1,13.4,90.7,89.3,7.7,2.8,832,23.1,44.8,4.4,12.6,3.4,0.5,2.2,0.3,2.2,0.4,1.7,0.2,2.5,0.3,3.1,0.9,12.6,11.4,4.5
36.2,UA4024 - 13,1660000,4420,0.62,4150,0.58,997,0.17,38.1,13.7,98.6,60.7,13.5,92.4,93.5,7.6,2.5,814,22.9,43,4.3,14.6,2,0.4,1.9,0.4,2.1,0.5,1.3,0.3,2,0.3,3,0.7,12.5,10.7,4.5
36.2,UA4024 - 14,1520000,5100,0.71,4890,0.68,1025,0.17,41.5,15,108.2,73.6,15.3,102.5,107.8,7.1,2.2,871,23.8,45.8,3.9,13.6,1.6,0.2,4,0.3,2.8,0.5,1.7,0.3,3.1,0.4,3.1,0.8,16.3,10.3,5.1
